"사업본부","사업팀","물류센터","유통경로","매출처명","일자","매출구분","브랜드","품목코드","품목명","규격","MC 대분류","MC 중분류","MC 소분류","MC 세분류","단가","수량","단위","단위당 EA수","SALES_QTY_EA","공급가","부가세","합계"
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,이마트_에브리데이,2025-01-03 00:00:00.000,추가주문,범용,"100337",CVS_매일_황치즈_카스테라110g*46ea/box,"110g*46ea/box",제품제과,케익류,카스텔라,카스텔라,2211,96,EA,46,4416,192960,19296,212256
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,이마트_에브리데이,2025-01-03 00:00:00.000,추가주문,범용,"100337",CVS_매일_황치즈_카스테라110g*46ea/box,"110g*46ea/box",제품제과,케익류,카스텔라,카스텔라,2211,18,EA,46,828,36180,3618,39798
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,이마트_에브리데이,2025-01-03 00:00:00.000,추가주문,범용,"100337",CVS_매일_황치즈_카스테라110g*46ea/box,"110g*46ea/box",제품제과,케익류,카스텔라,카스텔라,2211,36,EA,46,1656,72360,7236,79596
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,코리아세븐_세븐일레븐,2025-01-05 00:00:00.000,추가주문,세븐일레븐,"101023",CVS_딸기요거트 미니롤_105g*72ea/box,"105g*72ea/box",제품제과,케익류,롤,롤,2684,160,EA,72,11520,390400,39040,429440
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,BGF리테일(CU),2025-01-04 00:00:00.000,추가주문,BGF리테일,"100609",CVS_플레인요거트 미니롤_105g*72ea/box,"105g*72ea/box",제품제과,케익류,롤,롤,2612.5,171,EA,72,12312,406125,40613,446738
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,BGF리테일(CU),2025-01-04 00:00:00.000,추가주문,BGF리테일,"100940",CVS_데르뜨by바이오_딸기요거트미니롤_105g*72ea/box,"105g*72ea/box",제품제과,케익류,롤,롤,2612.5,173,EA,72,12456,410875,41088,451963
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,마켓컬리,2025-01-03 00:00:00.000,추가주문,범용,"100270",데르뜨_밀크케이크_450g*1ea/box,"450g*1ea/box",제품제과,케익류,생크림,생크림,13640,40,EA,1,40,496000,49600,545600
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,마켓컬리,2025-01-03 00:00:00.000,추가주문,범용,"100270",데르뜨_밀크케이크_450g*1ea/box,"450g*1ea/box",제품제과,케익류,생크림,생크림,13640,40,EA,1,40,496000,49600,545600
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,GS리테일,2025-01-03 00:00:00.000,추가주문,엠즈베이커스,"200244",CVS_바나나킥 도넛_110g*36ea/box,"110g*36ea/box",상품제빵,기타류,기타,기타,2145,175,EA,36,6300,341250,34125,375375
데르뜨,영업팀,엠즈베이커스센터,직거래/직판/직판기타,GS리테일_슈퍼,2025-01-03 00:00:00.000,추가주문,엠즈베이커스,"200244",CVS_바나나킥 도넛_110g*36ea/box,"110g*36ea/box",상품제빵,기타류,기타,기타,2145,1,EA,36,36,1950,195,2145
