매출처명(원장기준),매출처명(영업기준),Channel1_1,Channel1_2
코리아세븐_세븐일레븐,코리아세븐_세븐일레븐,KA,CVS
신세계푸드,신세계푸드,B2B,B2B
엠즈FS,엠즈FS,B2B,B2B
이랜드이츠_애슐리,이랜드이츠_애슐리,B2B,B2B
이마트24,이마트24,KA,CVS
GS리테일,GS리테일,KA,CVS
엠즈FS_컴포즈커피,엠즈FS,B2B,B2B
엠즈FS_E_카카오톡,엠즈FS,온라인,온라인
코스트코코리아_코스트코,코스트코코리아_코스트코,B2B,B2B
엠즈FS_E_쿠팡,엠즈FS,온라인,온라인
홈플러스홀딩스_홈플러스,홈플러스홀딩스_홈플러스,KA,Hyper
엠즈FS_커피명가,엠즈FS,B2B,B2B
맥스원이링크_셀렉토커피,맥스원이링크_셀렉토커피,B2B,B2B
본만제,본만제,B2B,B2B
엠즈FS_드롭탑,엠즈FS,B2B,B2B
CJ프레시웨이,CJ프레시웨이,B2B,B2B
엠즈FS_O2O,엠즈FS,B2B,B2B
엠즈FS_달리는커피,엠즈FS,B2B,B2B
엠즈FS_모리셔스브라운,엠즈FS,B2B,B2B
엠즈FS_우지커피,엠즈FS,B2B,B2B
CJ프레시웨이_유비쿼스점,CJ프레시웨이_유비쿼스점,B2B,B2B
CJ프레시웨이_크래프톤 서초카페점,CJ프레시웨이_크래프톤 서초카페점,B2B,B2B
엠즈FS_꿀스커피,엠즈FS,B2B,B2B
엠즈FS_밀탑,엠즈FS,B2B,B2B
엠즈FS_카페보니또,엠즈FS,B2B,B2B
엠즈FS_커핀그루나루,엠즈FS,B2B,B2B
엠즈FS_빈스앤베리즈,엠즈FS,B2B,B2B
엠즈FS_커피니,엠즈FS,B2B,B2B
엠즈FS_E_네이버스토어팜,엠즈FS,B2B,B2B
엠즈FS_텀브커피,엠즈FS,B2B,B2B
엠즈FS_베브릿지,엠즈FS,B2B,B2B
엠즈FS_루소랩,엠즈FS,B2B,B2B
엠즈FS_홍미당,엠즈FS,B2B,B2B
엠즈FS_E_11번가,엠즈FS,온라인,온라인
엠즈FS_E_위메프,엠즈FS,온라인,온라인
이디야커피,이디야커피,B2B,B2B
도레도레,도레도레,B2B,B2B
푸드머스,푸드머스,B2B,B2B
진심코리아_더치앤빈,진심코리아_더치앤빈,B2B,B2B
상하농원,상하농원,B2B,B2B
CJ프레시웨이_크래프톤 역삼카페점,CJ프레시웨이_크래프톤 역삼카페점,B2B,B2B
엠즈FS_E_B마트,엠즈FS,온라인,온라인
CJ프레시웨이_크래프톤 판교점,CJ프레시웨이_크래프톤 판교점,B2B,B2B
엠즈베이커스_실수요(카드),엠즈베이커스_실수요(카드),B2B,B2B
엠즈FS_카페이모야,엠즈FS,B2B,B2B
할리스커피,할리스커피,B2B,B2B
엠즈FS_카페65도씨,엠즈FS,B2B,B2B
엠즈FS_아이티F&B,엠즈FS,B2B,B2B
상하농원_폴바셋,상하농원_폴바셋,B2B,B2B
엠즈씨드_폴바셋,엠즈씨드_폴바셋,B2B,B2B
푸드누리_카페베네,푸드누리_카페베네,B2B,B2B
CJ프레시웨이_모닝해즈보나점,CJ프레시웨이_모닝해즈보나점,B2B,B2B
CJ프레시웨이_이엔엠센터,CJ프레시웨이_이엔엠센터,B2B,B2B
베이크인더스트리_도레도레,베이크인더스트리_도레도레,B2B,B2B
이마트_트레이더스,이마트_트레이더스,KA,Wholesale
엠즈FS_E_카카오,엠즈FS,온라인,온라인
엠즈FS_스토랑트,엠즈FS,B2B,B2B
청오디피케이_도미노피자,청오디피케이_도미노피자,B2B,B2B
엠즈FS_달커스피디,엠즈FS,B2B,B2B
엠즈FS_프라빈,엠즈FS,B2B,B2B
엠즈FS_커피101스트릿,엠즈FS,B2B,B2B
엠즈FS_E_SSG.com,엠즈FS,온라인,온라인
BGF리테일(CU),BGF리테일(CU),KA,CVS
B마트(우아한형제들),B마트(우아한형제들),온라인,온라인
쿠팡 주식회사,쿠팡 주식회사,온라인,온라인
엠즈FS_브리오슈도레,엠즈FS,B2B,B2B
엠즈FS_커피나무,엠즈FS,B2B,B2B
매일유업,매일유업,B2B,B2B
주식회사 하림,주식회사 하림,B2B,B2B
주식회사 카카오,주식회사 카카오,온라인,온라인
주식회사 SSG.COM,주식회사 SSG.COM,온라인,온라인
엠즈FS_곤트란쉐리에,엠즈FS,B2B,B2B
롯데슈퍼,롯데슈퍼,KA,SSM
(주)엠에스제이,(주)엠에스제이,B2B,B2B
엠즈FS_오더히어로,엠즈FS,온라인,온라인
엠즈FS_사회복지법인진암사회복지재단,엠즈FS,B2B,B2B
매일유업_영동공장,매일유업_영동공장,B2B,B2B
엠즈베이커스_실수요(계좌),엠즈베이커스_실수요(계좌),B2B,B2B
엠즈FS_프랑제리,엠즈FS,B2B,B2B
매일유업_네이버스토어팜,매일유업_네이버스토어팜,온라인,온라인
(주)헬로네이처,(주)헬로네이처,온라인,온라인
엠즈FS_더착한커피,엠즈FS,B2B,B2B
엠즈FS_킁킁커피,엠즈FS,B2B,B2B
CJ프레시웨이_카카오엔터카페점,CJ프레시웨이_카카오엔터카페점,B2B,B2B
주식회사 맘쿠킹,주식회사 맘쿠킹,B2B,B2B
베이비푸드(카멕스코리아),베이비푸드(카멕스코리아),B2B,B2B
엠즈FS_데코르커피,엠즈FS,B2B,B2B
스테이지파이브카페점,스테이지파이브카페점,B2B,B2B
엠즈FS_일리카페,엠즈FS,B2B,B2B
CJ프레시웨이_스테이지파이브카페점,CJ프레시웨이_스테이지파이브카페점,B2B,B2B
GS_와인25플러스,GS_와인25플러스,온라인,온라인
엠즈FS_랑데자뷰,엠즈FS,B2B,B2B
에스피씨 지에프에스(만랩커피),에스피씨 지에프에스(만랩커피),B2B,B2B
엠즈FS_쿠크봉,엠즈FS,B2B,B2B
미니스톱,미니스톱,KA,CVS
참살이(푸드존),참살이(푸드존),B2B,B2B
GS_달리살다,달리살다,온라인,온라인
매일홀딩스,매일홀딩스,B2B,B2B
비에이치로직,비에이치로직,B2B,B2B
밀도,밀도,B2B,B2B
매일헬스뉴트리션,매일헬스뉴트리션,B2B,B2B
롤링핀컴퍼니,매일헬스뉴트리션,B2B,B2B
올블루_ALLBLUE,올블루_ALLBLUE(수출),B2B,수출
치즈앤푸드,치즈앤푸드,B2B,B2B
엠즈FS_베이커리로컬,엠즈FS,B2B,B2B
SCK_스타벅스,SCK_스타벅스,B2B,B2B
엠즈FS_라떼킹,엠즈FS,B2B,B2B
태웅로직스,태웅로직스,B2B,B2B
마켓컬리,마켓컬리,온라인,온라인
제로투세븐,제로투세븐,B2B,B2B
위허들링,위허들링,B2B,B2B
엠즈FS_동네커피,엠즈FS,B2B,B2B
진암사회복지재단,진암사회복지재단,B2B,B2B
GS리테일_슈퍼,GS리테일_슈퍼,KA,SSM
엠즈FS_시나본,엠즈FS,B2B,B2B
호남FS특수지점,매일유업_호남FS특수지점,B2B,B2B
씨제이프레시웨이 주식회사(통합),씨제이프레시웨이 주식회사(통합),B2B,B2B
엠즈FS_브라운래빗,엠즈FS,B2B,B2B
엠즈FS_컴포즈커피(더젬),엠즈FS,B2B,B2B
엠즈FS_커피니(수도권),엠즈FS,B2B,B2B
엠즈FS_컴포즈커피(JMCP),엠즈FS,B2B,B2B
엠즈FS_커피니(지방권),엠즈FS,B2B,B2B
더슬로우메이드,더슬로우메이드,B2B,B2B
엠즈FS_배배꼬_본사LAB,엠즈FS,B2B,B2B
홈플러스_익스프레스,홈플러스_익스프레스,KA,SSM
맥널티커피 팩토리,맥널티커피 팩토리,B2B,B2B
엠즈FS_비엔나커피하우스,엠즈FS,B2B,B2B
비젼유통,비젼유통,B2B,B2B
CJ프레시웨이_크래프톤 종각점,CJ프레시웨이_크래프톤 종각점,B2B,B2B
엠즈FS_집생로커피,엠즈FS,B2B,B2B
씨제이프레시웨이(급식),CJ프레시웨이_급식,B2B,B2B
렛츠커넥트(수다),렛츠커넥트(수다),B2B,B2B
엠즈FS_유캔두잇,엠즈FS,B2B,B2B
비앤씨인터내셔널_메가커피,비앤씨인터내셔널_메가커피,B2B,B2B
엠즈FS_스택빈,엠즈FS,B2B,B2B
엠즈FS_하이오커피,엠즈FS,B2B,B2B
엠즈FS_후식_탑브레드,엠즈FS,B2B,B2B
