기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,2,4700,9400
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,1,4700,4700
2026-07-28,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,8,4700,37600
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,7,4700,32900
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,2,4700,9400
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,1,4700,4700
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,4,3800,15200
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,3,3800,11400
2026-07-18,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,4,3800,15200
2026-07-19,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,7,3800,26600
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,2,3800,7600
2026-07-28,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,1,3800,3800
2026-07-05,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,2,3800,7600
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,3,3800,11400
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,4,3800,15200
2026-07-13,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,6,3800,22800
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,7,3800,26600
2026-07-25,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,4,3800,15200
2026-07-08,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,3,4700,14100
2026-07-09,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,3,4700,14100
2026-07-13,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,9,4700,42300
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,4,5200,20800
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,3,5200,15600
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,5,5200,26000
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,5200,5200
2026-07-29,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,5200,5200
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,5200,5200
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,6,3800,22800
2026-07-04,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,2,3800,7600
2026-07-06,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,2,3800,7600
2026-07-10,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,1,3800,3800
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,3,3800,11400
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,5,3800,19000
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,4,3800,15200
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,3,3800,11400
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,4,5200,20800
2026-07-06,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,4,5200,20800
