기준일,브랜드,매장명,매출액_원,원본매출_만원
2026-08-01,폴바셋,롯데백화점 대구점,0,0
2026-08-02,폴바셋,롯데백화점 대구점,0,0
2026-08-03,폴바셋,롯데백화점 대구점,0,0
2026-08-04,폴바셋,롯데백화점 대구점,4091,0.4091
2026-08-05,폴바셋,롯데백화점 대구점,0,0
2026-08-06,폴바셋,롯데백화점 대구점,4091,0.4091
2026-08-07,폴바셋,롯데백화점 대구점,0,0
2026-08-08,폴바셋,롯데백화점 대구점,4091,0.4091
2026-08-09,폴바셋,롯데백화점 대구점,2000,0.2
2026-08-10,폴바셋,롯데백화점 대구점,4091,0.4091
2026-08-11,폴바셋,롯데백화점 대구점,0,0
2026-08-12,폴바셋,롯데백화점 대구점,0,0
2026-08-13,폴바셋,롯데백화점 대구점,0,0
2026-08-14,폴바셋,롯데백화점 대구점,0,0
2026-08-15,폴바셋,롯데백화점 대구점,0,0
2026-08-16,폴바셋,롯데백화점 대구점,0,0
2026-08-17,폴바셋,롯데백화점 대구점,0,0
2026-08-18,폴바셋,롯데백화점 대구점,0,0
2026-08-19,폴바셋,롯데백화점 대구점,0,0
2026-08-20,폴바셋,롯데백화점 대구점,4091,0.4091
2026-08-21,폴바셋,롯데백화점 대구점,2091,0.2091
2026-08-22,폴바셋,롯데백화점 대구점,0,0
2026-08-23,폴바셋,롯데백화점 대구점,5728,0.5728
2026-08-24,폴바셋,롯데백화점 대구점,0,0
2026-08-25,폴바셋,롯데백화점 대구점,0,0
2026-08-26,폴바셋,롯데백화점 대구점,17646,1.7646
2026-08-27,폴바셋,롯데백화점 대구점,4091,0.4091
2026-08-28,폴바셋,롯데백화점 대구점,2000,0.2
2026-08-29,폴바셋,롯데백화점 대구점,0,0
2026-08-30,폴바셋,롯데백화점 대구점,8182,0.8182
2026-08-31,폴바셋,롯데백화점 대구점,0,0
2026-08-01,폴바셋,롯데백화점 동탄점,2000,0.2
2026-08-02,폴바셋,롯데백화점 동탄점,0,0
2026-08-03,폴바셋,롯데백화점 동탄점,0,0
