기준일,매장명,대분류명,중분류명,품목코드,품목명,수량,총매출,실매출
2026-08-01,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,3,14100,14100
2026-08-02,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,8,39100,38160
2026-08-03,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,8,38100,38100
2026-08-04,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,5,23500,23500
2026-08-05,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,5,24500,24500
2026-08-06,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,7,34400,34400
2026-08-07,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,6,28200,28200
2026-08-08,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,7,33900,33900
2026-08-09,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,8,39600,39600
2026-08-10,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,8,38600,38600
2026-08-11,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,8,38100,38100
2026-08-12,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,10,48000,48000
2026-08-13,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,1,4700,4700
2026-08-14,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,11,53200,53200
2026-08-15,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,5,24500,24500
2026-08-16,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-17,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-18,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,18,85100,85100
2026-08-19,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-20,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-21,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-22,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,14,66300,66300
2026-08-23,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-24,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-25,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-26,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,0,0,0
2026-08-27,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,17,81900,81900
2026-08-28,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,16,75200,75200
2026-08-29,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,10,48000,48000
2026-08-30,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,12,58400,58400
2026-08-31,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,10,47500,47500
2026-08-01,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,0,0,0
2026-08-02,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,13,49900,49900
2026-08-03,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,10,38000,38000
2026-08-04,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,14,53200,53200
2026-08-05,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,15,57000,52440
2026-08-06,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,12,45600,45600
2026-08-07,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,14,53700,53700
2026-08-08,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,9,34200,34200
2026-08-09,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,14,53700,53700
2026-08-10,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,13,49900,49900
2026-08-11,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,10,38500,38500
2026-08-12,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,8,30900,30900
2026-08-13,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,13,49400,48640
2026-08-14,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,10,38000,38000
2026-08-15,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,14,53200,53200
2026-08-16,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,3,11400,11400
2026-08-17,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,15,57000,56240
2026-08-18,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,12,45600,45600
2026-08-19,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,9,34700,34700
2026-08-20,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,14,53200,53200
2026-08-21,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,20,76000,76000
2026-08-22,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,12,45600,45600
2026-08-23,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,0,0,0
2026-08-24,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,0,0,0
2026-08-25,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,0,0,0
2026-08-26,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,0,0,0
2026-08-27,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,13,50900,50900
2026-08-28,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,6,22800,22800
2026-08-29,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,0,0,0
2026-08-30,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,12,46600,46600
2026-08-31,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,10,38000,35395
2026-08-01,밀도 성수점,간식빵,간식빵,101327,큐브소보로,0,0,0
2026-08-02,밀도 성수점,간식빵,간식빵,101327,큐브소보로,18,70900,70140
2026-08-03,밀도 성수점,간식빵,간식빵,101327,큐브소보로,10,38500,38500
2026-08-04,밀도 성수점,간식빵,간식빵,101327,큐브소보로,16,60800,60800
2026-08-05,밀도 성수점,간식빵,간식빵,101327,큐브소보로,17,66600,66600
2026-08-06,밀도 성수점,간식빵,간식빵,101327,큐브소보로,10,39000,39000
2026-08-07,밀도 성수점,간식빵,간식빵,101327,큐브소보로,11,41800,41800
2026-08-08,밀도 성수점,간식빵,간식빵,101327,큐브소보로,8,30900,30900
2026-08-09,밀도 성수점,간식빵,간식빵,101327,큐브소보로,14,54200,54200
2026-08-10,밀도 성수점,간식빵,간식빵,101327,큐브소보로,8,30400,30400
2026-08-11,밀도 성수점,간식빵,간식빵,101327,큐브소보로,10,38500,38500
2026-08-12,밀도 성수점,간식빵,간식빵,101327,큐브소보로,9,34700,34700
2026-08-13,밀도 성수점,간식빵,간식빵,101327,큐브소보로,14,54200,54200
2026-08-14,밀도 성수점,간식빵,간식빵,101327,큐브소보로,14,54200,54200
2026-08-15,밀도 성수점,간식빵,간식빵,101327,큐브소보로,12,46600,46600
2026-08-16,밀도 성수점,간식빵,간식빵,101327,큐브소보로,20,78000,78000
2026-08-17,밀도 성수점,간식빵,간식빵,101327,큐브소보로,14,54200,54200
2026-08-18,밀도 성수점,간식빵,간식빵,101327,큐브소보로,25,96500,96500
2026-08-19,밀도 성수점,간식빵,간식빵,101327,큐브소보로,17,66100,66100
2026-08-20,밀도 성수점,간식빵,간식빵,101327,큐브소보로,15,57000,57000
2026-08-21,밀도 성수점,간식빵,간식빵,101327,큐브소보로,15,57500,57500
2026-08-22,밀도 성수점,간식빵,간식빵,101327,큐브소보로,8,31400,31400
2026-08-23,밀도 성수점,간식빵,간식빵,101327,큐브소보로,18,69400,69400
2026-08-24,밀도 성수점,간식빵,간식빵,101327,큐브소보로,10,38500,38500
2026-08-25,밀도 성수점,간식빵,간식빵,101327,큐브소보로,15,57000,57000
2026-08-26,밀도 성수점,간식빵,간식빵,101327,큐브소보로,7,27600,27600
2026-08-27,밀도 성수점,간식빵,간식빵,101327,큐브소보로,16,61800,61800
2026-08-28,밀도 성수점,간식빵,간식빵,101327,큐브소보로,16,60800,60800
2026-08-29,밀도 성수점,간식빵,간식빵,101327,큐브소보로,0,0,0
2026-08-30,밀도 성수점,간식빵,간식빵,101327,큐브소보로,10,38000,38000
2026-08-31,밀도 성수점,간식빵,간식빵,101327,큐브소보로,15,58500,58120
2026-08-01,밀도 성수점,간식빵,간식빵,101451,허니러스크,11,58200,58200
2026-08-02,밀도 성수점,간식빵,간식빵,101451,허니러스크,12,64900,64900
2026-08-03,밀도 성수점,간식빵,간식빵,101451,허니러스크,14,73300,73300
2026-08-04,밀도 성수점,간식빵,간식빵,101451,허니러스크,8,42600,42600
2026-08-05,밀도 성수점,간식빵,간식빵,101451,허니러스크,6,31700,31700
2026-08-06,밀도 성수점,간식빵,간식빵,101451,허니러스크,4,21300,21300
2026-08-07,밀도 성수점,간식빵,간식빵,101451,허니러스크,8,41600,41600
2026-08-08,밀도 성수점,간식빵,간식빵,101451,허니러스크,14,76300,76300
2026-08-09,밀도 성수점,간식빵,간식빵,101451,허니러스크,9,46800,46800
