기준일,매장명,대분류명,중분류명,품목코드,품목명,수량,총매출,실매출
2026-07-01,밀도 성수점,간식빵,간식빵,100010,큐브커스터드,10,48500,48500
2026-07-01,밀도 성수점,간식빵,간식빵,100625,큐브시나몬,6,22800,22800
2026-07-01,밀도 성수점,간식빵,간식빵,101327,큐브소보로,4,15200,15200
2026-07-01,밀도 성수점,간식빵,간식빵,101451,허니러스크,9,43300,43300
2026-07-01,밀도 성수점,간식빵,간식빵,101858,밀도단팥빵,9,34200,34200
2026-07-01,밀도 성수점,간식빵,간식빵,101957,초코허니러스크,2,10400,10400
2026-07-01,밀도 성수점,간식빵,간식빵,102587,밀도맘모스,15,95500,95500
2026-07-01,밀도 성수점,간식빵,간식빵,103704,크림치즈포테이토,4,17300,17300
2026-07-01,밀도 성수점,간식빵,간식빵,103765,누텔라시나몬롤데니쉬,0,0,0
2026-07-01,밀도 성수점,간식빵,간식빵,103766,누텔라로쉐큐브식빵,6,31200,31200
2026-07-01,밀도 성수점,간식빵,간식빵,103828,상하소시지 갈릭러스크,5,26000,26000
2026-07-01,밀도 성수점,간식빵,페이스트리,103768,애플시나몬크림치즈데니쉬,3,14700,14700
2026-07-01,밀도 성수점,간식빵,페이스트리,103769,고창고구마데니쉬,4,18400,18400
2026-07-01,밀도 성수점,구움과자,파운드,102607,레몬파운드,0,0,0
2026-07-01,밀도 성수점,구움과자,파운드,103040,무화과휘낭시에,5,16000,16000
2026-07-01,밀도 성수점,구움과자,파운드,103041,솔티휘낭시에,0,0,0
2026-07-01,밀도 성수점,구움과자,파운드,103042,피스타치오휘낭시에,0,0,0
2026-07-01,밀도 성수점,구움과자,파운드,103084,아몬드초코휘낭시에,0,0,0
2026-07-01,밀도 성수점,구움과자,파운드,103832,솔티카라멜휘낭시에,2,6400,6400
2026-07-01,밀도 성수점,구움과자,파운드,103833,아몬드초코휘낭시에리뉴얼,3,9600,9600
2026-07-01,밀도 성수점,구움과자,파운드,103834,피스타치오휘낭시에리뉴얼,3,9600,9600
2026-07-01,밀도 성수점,구움과자,쿠키 브라우니,102945,(25년)생크림 러스크,4,26000,26000
2026-07-01,밀도 성수점,구움과자,쿠키 브라우니,102946,(25년)시나몬 러스크,4,26000,26000
2026-07-01,밀도 성수점,구움과자,쿠키 브라우니,103459,샤브레쿠키(2ea),5,10000,10000
2026-07-01,밀도 성수점,구움과자,쿠키 브라우니,103843,하트팔미에,0,0,0
2026-07-01,밀도 성수점,기타,기타,102060,쇼핑백(대),24,7200,7200
2026-07-01,밀도 성수점,기타,기타,102061,쇼핑백(소),94,19300,19300
2026-07-01,밀도 성수점,디저트,디저트,103616,수제국산생크림롤케이크,6,37200,35321
2026-07-01,밀도 성수점,디저트,디저트,103737,허쉬딥초코롤케이크(조각),3,19500,19500
2026-07-01,밀도 성수점,디저트,카스텔라,102866,에그촉촉 카스텔라,1,12500,12500
2026-07-01,밀도 성수점,디저트,카스텔라,103016,에그촉촉 카스텔라(half),0,0,0
2026-07-01,밀도 성수점,디저트,카스텔라,103081,에그촉촉카스텔라제주말차,0,0,0
2026-07-01,밀도 성수점,디저트,카스텔라,103719,에그촉촉카스텔라제주말차(half),1,6500,6500
2026-07-01,밀도 성수점,디저트,카스텔라,103842,제주한라봉에그촉촉카스텔라,0,0,0
2026-07-01,밀도 성수점,샌드위치,시그니처샌드,102272,땅콩크림샌드,29,168200,166443
2026-07-01,밀도 성수점,샌드위치,시그니처샌드,102344,에그샌드,0,0,0
2026-07-01,밀도 성수점,샌드위치,샌드위치,103027,블루베리잼 잠봉뵈르,6,53400,53400
2026-07-01,밀도 성수점,샌드위치,샌드위치,103286,에그마요 소금빵,6,31700,31700
2026-07-01,밀도 성수점,샌드위치,샌드위치,103805,아이올리베이컨토마토샌드위치,3,26700,26700
2026-07-01,밀도 성수점,샌드위치,샌드위치,103806,바질치폴레닭가슴살샌드위치,4,35600,35600
2026-07-01,밀도 성수점,샌드위치,샌드위치,103807,잠봉에멘탈크로와상샌드위치,3,23700,23700
2026-07-01,밀도 성수점,식빵,식빵,100003,담백식빵,96,752300,736036
2026-07-01,밀도 성수점,식빵,식빵,100004,리치식빵,108,911200,911200
2026-07-01,밀도 성수점,식빵,식빵,102321,담백식빵Half,0,0,0
2026-07-01,밀도 성수점,식빵,식빵,102335,호밀잡곡식빵,10,65500,65500
2026-07-01,밀도 성수점,식빵,식빵,102338,통팥앙식빵,15,58500,58500
2026-07-01,밀도 성수점,식빵,식빵,102684,튼튼고양식빵,30,208000,208000
2026-07-01,밀도 성수점,식빵,식빵,102966,달밤식빵,17,151800,151800
2026-07-01,밀도 성수점,식빵,식빵,103814,얼룩 고양 식빵,16,121000,121000
2026-07-01,밀도 성수점,식빵,미니식빵,103395,게랑드소금식빵,9,64800,64800
2026-07-01,밀도 성수점,식빵,미니식빵,103663,밤완두바브카,10,72000,70560
2026-07-01,밀도 성수점,식빵,미니식빵,103764,누텔라바브카,9,70200,68640
2026-07-01,밀도 성수점,식빵,미니식빵,103824,리치 모카빵,9,62100,62100
2026-07-01,밀도 성수점,식빵,미니식빵,103827,촉촉연유브래드,10,70000,70000
2026-07-01,밀도 성수점,식사빵,건강빵,102983,촉촉감자치아바타,18,87900,86940
2026-07-01,밀도 성수점,식사빵,건강빵,103574,무화과오트통밀100,8,44000,44000
2026-07-01,밀도 성수점,식사빵,건강빵,103575,단호박고구마통밀(whole),6,33000,33000
2026-07-01,밀도 성수점,식사빵,모닝롤,102683,모닝롤,19,72200,72200
2026-07-01,밀도 성수점,식사빵,스콘,101119,레몬스콘,9,35200,35200
2026-07-01,밀도 성수점,식사빵,스콘,102977,리코타사워크림스콘,6,26700,26700
2026-07-01,밀도 성수점,식사빵,소금빵,102778,앙버터소금빵,19,91200,91200
2026-07-01,밀도 성수점,식사빵,소금빵,102844,the부드러운소금빵,17,61200,61200
2026-07-01,밀도 성수점,음료,RTD,103844,소브스 호지차,0,0,0
2026-07-01,밀도 성수점,음료,RTD,103845,소브스 레몬,0,0,0
2026-07-01,밀도 성수점,잼,잼,100938,상하)블루베리잼,0,0,0
2026-07-01,밀도 성수점,잼,잼,103272,상하)살구잼,2,18400,18400
2026-07-01,밀도 성수점,잼,잼,103273,상하)사과잼,0,0,0
2026-07-01,밀도 성수점,잼,잼,103274,상하)감귤잼,0,0,0
2026-07-01,밀도 성수점,잼,잼,103384,상하)딸기잼,3,29900,29900
2026-07-01,밀도 성수점,잼,잼,103744,피넛버터스프레드,1,12400,12400
2026-07-01,밀도 성수점,잼,잼,103745,피넛버터크런치,1,11900,11900
2026-07-01,밀도 정자점,간식빵,간식빵,100625,큐브시나몬,3,11400,11400
2026-07-01,밀도 정자점,간식빵,간식빵,101327,큐브소보로,1,3800,3800
2026-07-01,밀도 정자점,간식빵,간식빵,101451,허니러스크,6,28700,28700
2026-07-01,밀도 정자점,간식빵,간식빵,101858,밀도단팥빵,5,20000,20000
2026-07-01,밀도 정자점,간식빵,간식빵,101957,초코허니러스크,3,15600,15600
2026-07-01,밀도 정자점,간식빵,간식빵,102587,밀도맘모스,5,31000,31000
2026-07-01,밀도 정자점,구움과자,파운드,103040,무화과휘낭시에,0,0,0
2026-07-01,밀도 정자점,구움과자,파운드,103041,솔티휘낭시에,0,0,0
2026-07-01,밀도 정자점,구움과자,파운드,103832,솔티카라멜휘낭시에,3,11100,11100
