기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,6,3800,22800
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,4,5200,20800
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,2,6200,12400
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,3,7800,23400
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,8,6900,55200
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),모닝롤,102683,모닝롤,1,3800,3800
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,5,3600,18000
2026-07-01,밀도,밀도 정자점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,2,3800,7600
2026-07-01,밀도,밀도 정자점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,4,3800,15200
2026-07-01,밀도,밀도 정자점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,1,4700,4700
2026-07-01,밀도,밀도 정자점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-01,밀도,밀도 정자점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,1,8900,8900
2026-07-01,밀도,밀도 옥수점,폐기,유통기한초과(폐기),간식빵,100625,큐브시나몬,3,3800,11400
2026-07-01,밀도,밀도 옥수점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-07-01,밀도,밀도 옥수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-01,밀도,밀도 옥수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,2,6900,13800
2026-07-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,2,4700,9400
2026-07-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,2,4700,9400
2026-07-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,7,5200,36400
2026-07-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),디저트,103737,허쉬딥초코롤케이크(조각),2,6500,13000
2026-07-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103806,바질치폴레닭가슴살샌드위치,1,8900,8900
2026-07-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-01,밀도,밀도 광장점,폐기,유통기한초과(폐기),모닝롤,103773,모닝롤(6ea),3,5200,15600
2026-07-01,밀도,밀도 알토점,폐기,불량(폐기),식빵,102338,통팥앙식빵,4,3900,15600
2026-07-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,1,3800,3800
2026-07-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,1,6200,6200
2026-07-01,밀도,밀도 알토점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,1,3800,3800
2026-07-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,11,5800,63800
2026-07-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,100003,담백식빵,6,7800,46800
2026-07-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,102335,호밀잡곡식빵,1,6500,6500
2026-07-01,밀도,밀도 광교점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-07-01,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,2,3800,7600
2026-07-01,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,3,3800,11400
2026-07-01,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,3,6200,18600
2026-07-01,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,2,5200,10400
