기준일,브랜드,매장명,매출액_원,원본매출_만원
2026-07-01,폴바셋,신세계백화점 광주점,0,0
2026-07-01,폴바셋,롯데백화점 동탄점,0,0
2026-07-01,폴바셋,스타필드 하남 2호점,0,0
2026-07-01,폴바셋,신세계백화점 대구 1호점,0,0
2026-07-01,폴바셋,롯데백화점 노원점,0,0
2026-07-01,폴바셋,스타필드 수원점,0,0
2026-07-01,폴바셋,롯데백화점 대구점,0,0
2026-07-01,폴바셋,롯데백화점 부산본점,0,0
2026-07-01,폴바셋,대전엑스포 스카이점,0,0
2026-07-01,폴바셋,현대모터스튜디오 서울점,0,0
2026-07-01,폴바셋,광화문 디타워점,0,0
2026-07-01,폴바셋,제주 용담 DT점,0,0
2026-07-01,폴바셋,롯데마트 서초점,8091,0.8091
2026-07-01,폴바셋,삼성전자 평택점,0,0
2026-07-01,폴바셋,갤러리아 타임월드점,0,0
2026-07-01,폴바셋,롯데백화점 관악점,0,0
2026-07-01,폴바셋,롯데월드몰점,0,0
2026-07-01,폴바셋,스타필드 안성점,0,0
2026-07-01,폴바셋,롯데아울렛 남악점,0,0
2026-07-01,폴바셋,롯데백화점 평촌점,16182,1.6182
2026-07-01,폴바셋,롯데백화점 광주점,16182,1.6182
2026-07-01,폴바셋,현대백화점 충청점,16182,1.6182
2026-07-01,폴바셋,현대백화점 천호점,24273,2.4273
2026-07-01,폴바셋,신세계백화점 의정부점,23364,2.3364
2026-07-01,폴바셋,신세계백화점 센텀시티점,8091,0.8091
2026-07-01,폴바셋,삼성전자 온양캠퍼스점,7728,0.7728
2026-07-01,폴바셋,현대백화점 울산점,8091,0.8091
2026-07-01,폴바셋,포항 영일대 DT점,23364,2.3364
2026-07-01,폴바셋,롯데백화점 창원점,8091,0.8091
2026-07-01,폴바셋,AK플라자 수원점,8091,0.8091
2026-07-01,폴바셋,더현대 대구점,7182,0.7182
2026-07-01,폴바셋,스타필드시티 위례점,16182,1.6182
2026-07-01,폴바셋,현대아울렛 대전점,22455,2.2455
2026-07-01,폴바셋,스타필드 고양 1호점,30546,3.0546
2026-07-01,폴바셋,롯데아울렛 기흥점,27365,2.7365
2026-07-01,폴바셋,롯데백화점 김포공항점,15273,1.5273
2026-07-01,폴바셋,롯데백화점 대전점,30546,3.0546
2026-07-01,폴바셋,마산 회원 DT점,15273,1.5273
2026-07-01,폴바셋,롯데아울렛 광주수완점,16182,1.6182
2026-07-01,폴바셋,한국경제신문사점,39546,3.9546
2026-07-01,폴바셋,신세계 사우스시티점,47637,4.7637
2026-07-01,폴바셋,삼성 DSR점,46728,4.6728
2026-07-01,폴바셋,신세계백화점 대구 2호점,0,0
2026-07-01,폴바셋,뉴코아 강남점,15273,1.5273
2026-07-01,폴바셋,롯데백화점 울산점,43457,4.3457
2026-07-01,폴바셋,AK플라자 광명점,21546,2.1546
2026-07-01,폴바셋,롯데백화점 강남점,8091,0.8091
2026-07-01,폴바셋,마산 해안대로 DT점,23364,2.3364
2026-07-01,폴바셋,여의도점,32364,3.2364
2026-07-01,폴바셋,구미 봉곡 DT점,39546,3.9546
2026-07-01,폴바셋,스타필드 하남 1호점,31455,3.1455
2026-07-01,폴바셋,롯데백화점 잠실점,30546,3.0546
2026-07-01,폴바셋,종로 G1점,37276,3.7276
2026-07-01,폴바셋,롯데월드 아이스링크점,8091,0.8091
2026-07-01,폴바셋,롯데몰 은평점,45819,4.5819
2026-07-01,폴바셋,롯데몰 수지점,23364,2.3364
2026-07-01,폴바셋,구로 G타워점,0,0
2026-07-01,폴바셋,경산 옥곡 DT점,24273,2.4273
2026-07-01,폴바셋,롯데백화점 광복점,54912,5.4912
2026-07-01,폴바셋,서소문점,53910,5.391
2026-07-01,폴바셋,인스파이어점,14364,1.4364
2026-07-01,폴바셋,롯데백화점 본점,50455,5.0455
2026-07-01,폴바셋,오산대 DT점,47637,4.7637
2026-07-01,폴바셋,교보문고 합정점,71001,7.1001
2026-07-01,폴바셋,NC타워 삼성점,55728,5.5728
2026-07-01,폴바셋,AK플라자 홍대점,31455,3.1455
2026-07-01,폴바셋,부산 전포 DT점,38637,3.8637
2026-07-01,폴바셋,송도 트리플스트리트점,47637,4.7637
2026-07-01,폴바셋,부산 괴정 DT점,53910,5.391
2026-07-01,폴바셋,양산 웅상 DT점,55728,5.5728
2026-07-01,폴바셋,파미에스테이션점,38637,3.8637
2026-07-01,폴바셋,롯데아울렛 이시아폴리스점,0,0
2026-07-01,폴바셋,경주 교동 DT점,46728,4.6728
2026-07-01,폴바셋,김포 구래 DT점,68274,6.8274
2026-07-01,폴바셋,대구 방촌 DT점,39546,3.9546
2026-07-01,폴바셋,광화문 흥국생명점,70092,7.0092
2026-07-01,폴바셋,북수원IC DT점,38637,3.8637
2026-07-01,폴바셋,제주 아라 DT점,46728,4.6728
2026-07-01,폴바셋,경산 임당역 DT점,71001,7.1001
2026-07-01,폴바셋,대구 감삼 DT점,30546,3.0546
2026-07-01,폴바셋,GFC점,72819,7.2819
2026-07-01,폴바셋,MBC몰 파크점,98092,9.8092
2026-07-01,폴바셋,현대아울렛 남양주점,62912,6.2912
2026-07-01,폴바셋,부산 대연 DT점,24273,2.4273
2026-07-01,폴바셋,대구 만촌 DT점,53910,5.391
2026-07-01,폴바셋,천안 구성 DT점,31455,3.1455
2026-07-01,폴바셋,상일동점,31455,3.1455
2026-07-01,폴바셋,광명 철산 DT점,62001,6.2001
2026-07-01,폴바셋,용인시청 DT점,68574,6.8574
2026-07-01,폴바셋,전주 금암 DT점,62001,6.2001
2026-07-01,폴바셋,부산 연산역점,46728,4.6728
2026-07-01,폴바셋,신세계아울렛 시흥점,103369,10.3369
2026-07-01,폴바셋,롯데몰 동부산점,8091,0.8091
2026-07-01,폴바셋,수원 월드컵경기장점,71001,7.1001
2026-07-01,폴바셋,롯데아울렛 김해점,49730,4.973
2026-07-01,폴바셋,고창 선운사점,56277,5.6277
2026-07-01,폴바셋,송도 SK바이오사이언스점,0,0
2026-07-01,폴바셋,강서 마곡 DT점,38637,3.8637
2026-07-01,폴바셋,부산 금곡 강변점,55728,5.5728
2026-07-01,폴바셋,청주 방서 DT점,22091,2.2091
2026-07-01,폴바셋,롯데아울렛 이천점,58185,5.8185
2026-07-01,폴바셋,증미역점,62001,6.2001
2026-07-01,폴바셋,롯데백화점 중동점,81005,8.1005
2026-07-01,폴바셋,평택 소사 DT점,91638,9.1638
2026-07-01,폴바셋,여의도 국회대로점,70092,7.0092
2026-07-01,폴바셋,반포 쌍동빌딩점,38637,3.8637
2026-07-01,폴바셋,혜화역점,108001,10.8001
2026-07-01,폴바셋,송도 센트럴파크점,22455,2.2455
2026-07-01,폴바셋,영등포 타임스퀘어점,68274,6.8274
2026-07-01,폴바셋,수서역점,54819,5.4819
2026-07-01,폴바셋,코엑스몰점,163548,16.3548
2026-07-01,폴바셋,광화문 예금보험공사점,114385,11.4385
2026-07-01,폴바셋,용산 아이파크몰점,125553,12.5553
2026-07-01,폴바셋,해운대 팔라티움점,0,0
2026-07-01,폴바셋,롯데백화점 상인점,0,0
2026-07-01,폴바셋,여의도 현대카드점,167877,16.7877
2026-07-01,폴바셋,연세와병원점,169824,16.9824
2026-07-01,폴바셋,압구정2호점,204191,20.4191
2026-07-01,폴바셋,선릉역 동훈타워점,145189,14.5189
2026-07-01,폴바셋,한남 커피스테이션,138823,13.8823
2026-07-01,폴바셋,강서 부민병원점,133728,13.3728
2026-07-01,폴바셋,현대백화점 미아점,185646,18.5646
2026-07-01,폴바셋,코리아나호텔점,138002,13.8002
2026-07-01,폴바셋,강남삼성타운점,199801,19.9801
2026-07-01,폴바셋,종각역점,283468,28.3468
2026-07-01,폴바셋,청담역점,136551,13.6551
2026-07-01,폴바셋,대구 수성못점,215045,21.5045
2026-07-01,폴바셋,강남역 삼성화재점,290768,29.0768
2026-07-01,폴바셋,신세계 센텀시티몰점,249834,24.9834
2026-07-01,폴바셋,교대역점,216010,21.601
2026-07-01,폴바셋,페럼타워점,299829,29.9829
2026-07-01,폴바셋,스타필드빌리지 운정점,259014,25.9014
2026-07-01,폴바셋,인천 송도 DT점,224468,22.4468
2026-07-01,폴바셋,청량리역점,178190,17.819
2026-07-01,폴바셋,광교엘포트몰점,214096,21.4096
2026-07-01,폴바셋,광화문 G타워점,207739,20.7739
2026-07-01,폴바셋,파르나스몰점,468881,46.8881
2026-07-01,폴바셋,광교 경기도청점,220462,22.0462
2026-07-01,폴바셋,수원컨트리클럽점,198646,19.8646
2026-07-01,폴바셋,갤러리아 광교점,177917,17.7917
2026-07-01,폴바셋,현대아울렛 김포점,244648,24.4648
2026-07-01,폴바셋,대치역점,276380,27.638
2026-07-01,폴바셋,일산 마두점,248198,24.8198
2026-07-01,폴바셋,여의도 부국증권점,338861,33.8861
2026-07-01,폴바셋,교보문고 강남점,329471,32.9471
2026-07-01,폴바셋,을지로 파인에비뉴점,488211,48.8211
